aid,n_episodes,eps_present,n_seasons
Victoria Jackson,113,113,6
Jan Hooks,93,93,5
A. Whitney Brown,101,56,6
Nora Dunn,91,89,5
Heidi Gardner,13,13,1
Cecily Strong,118,118,6
Leslie Jones,73,73,4
Kate McKinnon,123,123,7
Rachel Dratch,137,133,7
Tina Fey,119,117,6
Aidy Bryant,118,117,6
Melissa Villaseor,34,33,2
Vanessa Bayer,149,147,7
Sasheer Zamata,74,70,4
Kristen Wiig,135,135,7
Maya Rudolph,146,132,9
Julia Louis-Dreyfus,56,56,3
Amy Poehler,142,139,8
Sarah Silverman,18,16,1
Nasim Pedrad,108,108,5
Nol Wells,21,21,1
Abby Elliott,81,81,4
Ana Gasteyer,119,119,6
Jenny Slate,22,22,1
Molly Shannon,118,117,7
Michaela Watkins,15,15,1
Casey Wilson,30,30,2
Nancy Walls,20,20,1
Cheri Oteri,99,98,5
Morwenna Banks,4,4,1
Ellen Cleghorne,80,78,4
Laura Kightlinger,20,19,1
Damon Wayans,12,11,1
Janeane Garofalo,14,14,1
Melanie Hutsell,55,54,3
Julia Sweeney,76,76,4
Siobhan Fallon,20,20,1
Beth Cahill,15,13,1
Laurie Metcalf,1,1,1
Joan Cusack,18,18,1
Terry Sweeney,18,17,1
Danitra Vance,18,18,1
Pamela Stephenson,17,17,1
Yvonne Hudson,9,8,1
Jane Curtin,106,105,5
Laraine Newman,106,104,5
Gilda Radner,106,103,5
